Trigger Count=581	Output Count=581	Elapsed Time=05.806	Number of Pulses CH0=2	Number of Pulses CH1=0
ple rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.0600	Channel 1 threshold (V)=0.0600	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.424000E-6	0.697115	2.830350E-8	8.424000E-6	0.735010	3.005710E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.688985	2.837988E-8	8.424000E-6	0.738374	3.075223E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.700866	2.816658E-8	8.424000E-6	0.730976	3.068968E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.701866	2.778632E-8	8.420000E-6	0.733562	3.033687E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.703369	2.772445E-8	8.420000E-6	0.737054	2.997819E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.700632	2.810265E-8	8.424000E-6	0.706147	3.049520E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.692879	2.815874E-8	8.424000E-6	0.736663	2.999735E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.694762	2.858925E-8	8.424000E-6	0.739693	3.069662E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696900	2.816192E-8	8.424000E-6	0.733307	3.067533E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.700485	2.783350E-8	8.424000E-6	0.737426	3.050706E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.669992	2.841065E-8	8.420000E-6	0.737317	3.015141E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.703680	2.801087E-8	8.424000E-6	0.735563	2.978958E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.695197	2.814415E-8	8.424000E-6	0.735304	2.995877E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.690630	2.835938E-8	8.424000E-6	0.739270	3.052903E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.702607	2.838873E-8	8.424000E-6	0.732895	3.071471E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.701738	2.808721E-8	8.424000E-6	0.738396	3.075902E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.698092	2.774629E-8	8.420000E-6	0.737831	3.012500E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.706135	2.773384E-8	8.424000E-6	0.735107	2.976164E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.692988	2.790502E-8	8.424000E-6	0.735532	2.981854E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.692304	2.826414E-8	8.424000E-6	0.737365	3.042949E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.694434	2.836149E-8	8.424000E-6	0.734059	3.074923E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.705534	2.811091E-8	8.424000E-6	0.731868	3.056383E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.706369	2.796724E-8	8.420000E-6	0.737820	3.023177E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.698082	2.785430E-8	8.424000E-6	0.735369	2.982857E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.701800	2.806619E-8	8.424000E-6	0.737157	2.984172E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.692258	2.831682E-8	8.424000E-6	0.732699	3.020618E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696894	2.826253E-8	8.424000E-6	0.738094	3.089735E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.698422	2.801212E-8	8.424000E-6	0.733656	3.071771E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.702770	2.775015E-8	8.420000E-6	0.736488	3.023732E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.700022	2.770298E-8	8.420000E-6	0.735525	2.987715E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.703105	2.807906E-8	8.424000E-6	0.734714	2.983787E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.690268	2.825936E-8	8.424000E-6	0.737478	3.022700E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.694673	2.849612E-8	8.424000E-6	0.738285	3.092957E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696805	2.799889E-8	8.424000E-6	0.736046	3.078405E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.701187	2.770196E-8	8.420000E-6	0.732364	3.020956E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.705929	2.799025E-8	8.420000E-6	0.736771	2.995755E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.700092	2.791689E-8	8.424000E-6	0.737627	2.978874E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.694434	2.823029E-8	8.424000E-6	0.736581	3.015658E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.693928	2.857604E-8	8.424000E-6	0.733251	3.065608E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.693485	2.805366E-8	8.424000E-6	0.734076	3.069729E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.700008	2.781641E-8	8.420000E-6	0.731477	3.027955E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.702684	2.775422E-8	8.420000E-6	0.737196	2.987632E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696960	2.791397E-8	8.424000E-6	0.738219	2.987184E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696706	2.824370E-8	8.424000E-6	0.736997	3.007530E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.688333	2.843150E-8	8.424000E-6	0.738387	3.072415E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.699976	2.819899E-8	8.424000E-6	0.734648	3.071295E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.699470	2.791891E-8	8.420000E-6	0.731485	3.036432E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.698802	2.779363E-8	8.420000E-6	0.738516	2.989101E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.706388	2.806285E-8	8.424000E-6	0.705937	3.058185E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.690913	2.828010E-8	8.424000E-6	0.736716	3.006615E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.692716	2.854441E-8	8.424000E-6	0.733470	3.049603E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.697001	2.834236E-8	8.424000E-6	0.738997	3.086955E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
