Trigger Count=587	Output Count=587	Elapsed Time=05.864	Number of Pulses CH0=2	Number of Pulses CH1=0
ple rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.0600	Channel 1 threshold (V)=0.0600	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.424000E-6	0.690515	2.826527E-8	8.424000E-6	0.204138	2.938634E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.699159	2.796408E-8	8.424000E-6	0.205058	2.918778E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.700471	2.785726E-8	8.428000E-6	0.199629	2.966760E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.698878	2.814603E-8	8.424000E-6	0.208508	2.916174E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.690462	2.843503E-8	8.424000E-6	0.207037	2.915760E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.692407	2.822283E-8	8.424000E-6	0.206371	2.924894E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.700602	2.799257E-8	8.424000E-6	0.205078	2.935412E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.668220	2.853133E-8	8.424000E-6	0.206793	2.910401E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.699191	2.779388E-8	8.428000E-6	0.198812	2.975670E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.693877	2.805566E-8	8.424000E-6	0.209108	2.872159E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.695449	2.844131E-8	8.424000E-6	0.205625	2.901084E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.695205	2.846109E-8	8.424000E-6	0.207101	2.911523E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.697997	2.797552E-8	8.424000E-6	0.207074	2.928337E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.704222	2.791722E-8	8.424000E-6	0.206827	2.894685E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.699682	2.772857E-8	8.428000E-6	0.199150	2.988619E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.697826	2.803275E-8	8.424000E-6	0.207888	2.894054E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
