Trigger Count=600	Output Count=600	Elapsed Time=05.991	Number of Pulses CH0=2	Number of Pulses CH1=0
ple rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.0600	Channel 1 threshold (V)=0.0600	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.424000E-6	0.692673	2.820425E-8	8.424000E-6	0.494182	2.948946E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.697517	2.804235E-8	8.424000E-6	0.494139	2.944998E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.701785	2.778018E-8	8.424000E-6	0.499144	2.931880E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.703500	2.765572E-8	8.420000E-6	0.498456	2.906721E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.702098	2.800992E-8	8.424000E-6	0.479293	2.968818E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696417	2.806209E-8	8.424000E-6	0.500558	2.897877E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.695412	2.842362E-8	8.424000E-6	0.495327	2.920887E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.695062	2.850615E-8	8.424000E-6	0.489636	2.936333E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696669	2.812767E-8	8.424000E-6	0.496208	2.953396E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.701485	2.782168E-8	8.424000E-6	0.495269	2.918012E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.701084	2.773199E-8	8.420000E-6	0.494065	2.894755E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.698610	2.785004E-8	8.424000E-6	0.494087	2.884098E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.703856	2.815684E-8	8.424000E-6	0.496478	2.894043E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.690664	2.825314E-8	8.424000E-6	0.496995	2.903739E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.693608	2.855622E-8	8.424000E-6	0.499084	2.924554E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
