x y time dx dy dt dr^2 TotalDisplacementSquared
14
6.31861749116608E-05 3.79213780918728E-05 0 0 0 0 0 0
6.32312030075188E-05 3.81278195488722E-05 0.034 4.50280958580223E-08 2.06441456999393E-07 0.034 4.46456045846314E-14 4.46456045846314E-14
6.32427461139896E-05 3.80129533678756E-05 0.1 1.15431064708389E-08 -1.14866180996536E-07 0.066 1.33274828437261E-14 1.15863321079323E-14
6.29911812961444E-05 3.76294093519278E-05 0.167 -2.51564817845257E-07 -3.83544015947834E-07 0.067 2.10390869746909E-13 1.23268255197213E-13
6.29375E-05 3.75625E-05 0.2 -5.36812961443829E-08 -6.69093519278121E-08 0.033 7.35854293114075E-15 1.9063269651575E-13
6.29464040311498E-05 3.78038250114521E-05 0.234 8.90403114979676E-09 2.41325011452133E-07 0.034 5.83170429230888E-14 7.13088018573966E-14
6.30571982055465E-05 3.79018148450245E-05 0.267 1.10794174396695E-07 9.79898335723348E-08 0.033 2.18773565637791E-14 1.70177113473395E-14
6.30008087343308E-05 3.78044884755358E-05 0.3 -5.63894712157165E-08 -9.73263694886839E-08 0.033 1.26521946618359E-14 4.80238021053504E-14
6.32771285475793E-05 3.78953811908737E-05 0.333 2.76319813248527E-07 9.0892715337894E-08 0.033 8.46141248951964E-14 8.94840274835698E-15
6.3358607281725E-05 3.78617002474373E-05 0.367 8.14787341456906E-08 -3.36809434364227E-08 0.034 7.77319006875164E-15 3.3294367362434E-14
6.34509336890244E-05 3.79067263719512E-05 0.4 9.23264072993959E-08 4.50261245139671E-08 0.033 1.05515173735612E-14 7.03118830877339E-14
6.34213702822169E-05 3.78521761305678E-05 0.433 -2.95634068074548E-08 -5.45502413833887E-08 0.033 3.84972385704904E-15 6.01057737794999E-14
6.35227151256013E-05 3.7788882950294E-05 0.467 1.01344843384346E-07 -6.32931802738739E-08 0.034 1.42768039497788E-14 1.30814278141113E-13
6.34891191709845E-05 3.81432642487047E-05 0.5 -3.35959546168212E-08 3.54381298410701E-07 0.033 1.2671479282987E-13 1.41008690850791E-13
13
4.52526840490797E-05 3.73840746421268E-05 0 0 0 0 0 0
4.4954071969697E-05 3.76529356060606E-05 0.033 -2.98612079382785E-07 2.68860963933818E-07 0.033 1.61455391880733E-13 1.61455391880733E-13
4.49384027187765E-05 3.76505947323704E-05 0.067 -1.56692509204177E-08 -2.34087369017288E-09 0.034 2.51005114040355E-16 1.69805713080632E-13
4.50227857878476E-05 3.74268795056643E-05 0.1 8.43830690710305E-08 -2.23715226706176E-07 0.033 5.7169005006042E-14 5.46854668600375E-14
4.50291095890411E-05 3.74294520547945E-05 0.133 6.32380119351694E-09 2.57254913026372E-09 0.033 4.66084705627469E-17 5.2044648761994E-14
4.48095009596929E-05 3.76223608445298E-05 0.167 -2.19608629348201E-07 1.92908789735228E-07 0.034 8.54417512413058E-14 2.53191564974103E-13
4.50672983479106E-05 3.70966958211856E-05 0.2 2.57797388217696E-07 -5.25665023344132E-07 0.033 3.42783210139253E-13 1.16954444923519E-13
4.50289750957854E-05 3.70526819923372E-05 0.233 -3.83232521251529E-08 -4.40138288484562E-08 0.033 3.40588878334923E-15 1.59866784118628E-13
4.50514577259475E-05 3.68708454810496E-05 0.267 2.24826301620809E-08 -1.81836511287599E-07 0.034 3.35699854962502E-14 3.03896204901352E-13
4.47780261348005E-05 3.73987276478679E-05 0.3 -2.73431591146974E-07 5.27882166818387E-07 0.033 3.53424417082041E-13 2.25514846165136E-13
4.48327974276527E-05 3.70952572347267E-05 0.333 5.47712928521875E-08 -3.03470413141262E-07 0.033 9.50941861728286E-14 2.59720269670713E-13
4.50578004216444E-05 3.68692902319044E-05 0.367 2.2500299399168E-07 -2.25967002822259E-07 0.034 1.01687433669695E-13 3.0298261725034E-13
4.49250626566416E-05 3.72572681704261E-05 0.4 -1.32737765002808E-07 3.87977938521637E-07 0.033 1.6814619503744E-13 1.23415658048297E-13
12
3.70428571428571E-06 3.54595238095238E-05 0 0 0 0 0 0
3.73338926174497E-06 3.54523489932886E-05 0.033 2.91035474592523E-08 -7.17481623522076E-09 0.033 8.98494462722136E-16 8.98494462722136E-16
3.69098922624878E-06 3.56545053868756E-05 0.066 -4.24000354961906E-08 2.02156393587025E-07 0.033 4.26649704781903E-14 3.8194612100714E-14
3.74867924528302E-06 3.56269811320755E-05 0.1 5.76900190342431E-08 -2.75242548001415E-08 0.034 4.08572289847444E-15 3.00127404705802E-14
3.91439962476548E-06 3.57508208255159E-05 0.133 1.6572037948246E-07 1.23839693440473E-07 0.033 4.27995138472408E-14 1.29001806903021E-13
4E-06 3.56228390957447E-05 0.166 8.56003752345216E-08 -1.27981729771264E-07 0.033 2.37067473955357E-14 1.14118821488916E-13
4.14160682226212E-06 3.5661131059246E-05 0.2 1.41606822262118E-07 3.82919635012797E-08 0.034 2.15187665799585E-14 2.3189523462224E-13
4.28722280887012E-06 3.54487856388596E-05 0.233 1.45615986607998E-07 -2.12345420386406E-07 0.033 6.62945931149001E-14 3.39930964551719E-13
4.34920634920635E-06 3.56937830687831E-05 0.266 6.19835403362323E-08 2.44997429923515E-07 0.033 6.3865699941741E-14 4.70800025895132E-13
4.5E-06 3.5625E-05 0.299 1.50793650793651E-07 -6.87830687830697E-08 0.033 2.74698356708941E-14 6.60543594104309E-13
4.39382239382239E-06 3.56749034749035E-05 0.333 -1.06177606177607E-07 4.99034749034735E-08 0.034 1.37640408610485E-14 5.21849232685526E-13
4.41406791406791E-06 3.56290713790714E-05 0.366 2.02455202455205E-08 -4.58320958320968E-08 0.033 2.51046209837429E-15 5.32537149467146E-13
12
2.15026276276276E-05 4.66313813813814E-05 0 0 0 0 0 0
2.14313953488372E-05 4.66841085271318E-05 0.034 -7.12322787904185E-08 5.27271457504028E-08 0.034 7.85418944066013E-15 7.85418944066013E-15
