x y time dx dy dt dr^2 TotalDisplacementSquared
12
2.77892885066458E-06 5.8295543393276E-06 0 0 0 0 0 0
2.625E-06 5.95120689655172E-06 0.1640164 -1.53928850664582E-07 1.21652557224125E-07 0.1640164 3.8493435746088E-14 3.8493435746088E-14
2.4590930341281E-06 5.87938288920056E-06 0.3270327 -1.65906965871903E-07 -7.18240073511636E-08 0.1630163 3.26838093568006E-14 1.04777833922002E-13
2.30873308733087E-06 5.86608241082411E-06 0.4910491 -1.50359946797224E-07 -1.33004783764523E-08 0.1640164 2.27850163259065E-14 2.22418355864223E-13
2.2295852928602E-06 5.67550235143224E-06 0.6550655 -7.91477944706767E-08 -1.90580059391872E-07 0.1640164 4.25851324073821E-14 3.25510359475693E-13
2.31305097738597E-06 5.91136450747413E-06 0.8190819 8.34656845257751E-08 2.35862156041892E-07 0.1640164 6.25974771460862E-14 2.23735096422764E-13
2.4171967769296E-06 5.89874893977947E-06 0.9820982 1.04145799543629E-07 -1.26155676946542E-08 0.1630163 1.10055001108403E-14 1.35637985900304E-13
2.42616421568627E-06 5.89328022875817E-06 1.1461146 8.96743875667338E-09 -5.46871102130453E-09 0.1640164 1.10321758089226E-16 1.28503876675095E-13
2.37132941804592E-06 6.28216764548852E-06 1.310131 -5.48347976403591E-08 3.88887416730351E-07 0.1640164 1.54240277923465E-13 3.70996102384978E-13
2.37315462315462E-06 6.18482905982906E-06 1.4741474 1.82520510870754E-09 -9.73385856594611E-08 0.1640164 9.47813163187309E-15 2.90872850738694E-13
2.1674358974359E-06 6.05820512820513E-06 1.6381638 -2.05718725718726E-07 -1.26623931623931E-07 0.1640164 5.83538141712383E-14 4.26204815102654E-13
2.44816779170685E-06 6.15380906460945E-06 1.8011801 2.80731894270949E-07 9.56039364043217E-08 0.1630163 8.7950509116957E-14 2.14544004990451E-13
13
3.71887159533074E-06 4.96806095979248E-05 0 0 0 0 0 0
3.71881838074398E-06 4.96528993435449E-05 0.1640164 -5.3214586757111E-11 -2.77102543799117E-08 0.1640164 7.67861029591659E-16 7.67861029591659E-16
3.86858974358974E-06 4.9625641025641E-05 0.3280328 1.49771362845761E-07 -2.72583179038364E-08 0.1640164 2.31744770236233E-14 2.54370678570188E-14
3.8551673944687E-06 4.96244541484716E-05 0.4920492 -1.3422349121039E-08 -1.18687716940968E-09 0.1640164 1.81568133342323E-16 2.17299793659427E-14
3.63194444444444E-06 4.96319444444444E-05 0.9830983 -2.2322295002426E-07 7.49029597282913E-09 0.4910491 4.98845899512938E-14 9.9246267244726E-15
3.62980769230769E-06 4.96363324175824E-05 1.1471147 -2.13675213675213E-09 4.38797313797323E-09 0.1640164 2.38200179534895E-17 9.89284752076816E-15
3.61950904392765E-06 4.9625E-05 1.3111311 -1.0298648380044E-08 -1.13324175824161E-08 0.1640164 2.34485846718037E-16 1.29653440026866E-14
3.62285336856011E-06 4.96112945838838E-05 1.4741474 3.34432463245715E-09 -1.37054161162453E-08 0.1630163 1.99022938166697E-16 1.40240710436832E-14
3.61993243243243E-06 4.96263513513513E-05 1.9661966 -2.92093612767319E-09 1.50567674675983E-08 0.4920492 2.35238114435274E-16 1.27329152762396E-14
3.63208955223881E-06 4.96194029850746E-05 2.2932293 1.21571198063735E-08 -6.94836627672402E-09 0.3270327 1.96075355902033E-16 1.12773724597974E-14
3.6230876216968E-06 4.96303894297636E-05 2.4572457 -9.00193054200482E-09 1.09864446889318E-08 0.1640164 2.01736720386038E-16 1.16966348952473E-14
3.63016224188791E-06 4.96264749262537E-05 2.6212621 7.0746201911045E-09 -3.91450350987554E-09 0.1640164 6.53735885772114E-17 1.07999120651819E-14
2.87002840909091E-06 4.85E-05 2.7852785 -7.60133832796996E-07 -1.12647492625369E-06 0.1640164 1.8467492032409E-12 2.11437377753788E-12
11
4.70635704874835E-05 1.16413043478261E-05 0 0 0 0 0 0
4.69961267605634E-05 1.15464788732394E-05 0.1640164 -6.74437269201533E-08 -9.4825474586651E-08 0.1640164 1.35405269314638E-14 1.35405269314638E-14
4.68672883787661E-05 1.16237446197991E-05 0.3280328 -1.28838381797237E-07 7.72657465597017E-08 0.1640164 2.25693242155588E-14 3.8835010250926E-14
4.69366071428571E-05 1.16422619047619E-05 0.4920492 6.93187640910011E-08 1.85172849627655E-08 0.1640164 5.14798089749613E-15 1.61206077940047E-14
4.69762159273116E-05 1.190539818279E-05 0.6550655 3.96087844544581E-08 2.63136278028048E-07 0.1630163 7.08095566204139E-14 7.73763728487523E-14
4.71202437574316E-05 1.19001189060642E-05 0.8190819 1.44027830120031E-07 -5.27927672574258E-09 0.1640164 2.07718866118314E-14 7.01968350826042E-14
4.7220457433291E-05 1.19486975857687E-05 0.9830983 1.00213675859351E-07 4.85786797045318E-08 0.1640164 1.24026689510785E-14 1.19104116497659E-13
4.71810520939734E-05 1.19650153217569E-05 1.4741474 -3.94053393175398E-08 1.6317735988153E-08 0.4910491 1.81904927450951E-15 1.18590722506681E-13
4.72889856169569E-05 1.19101059803179E-05 1.6381638 1.07933522983409E-07 -5.49093414389539E-08 0.1640164 1.46646811608696E-14 1.23066298225758E-13
4.74804003336113E-05 1.21336530442035E-05 1.8021802 1.91414716654492E-07 2.23547063885563E-07 0.1640164 8.66128835237757E-14 4.16154359447476E-13
4.74636723910172E-05 1.22637054161162E-05 1.9661966 -1.67279425941729E-08 1.30052371912745E-07 0.1640164 1.71934435035649E-14 5.47464623019975E-13
15
6.67907986111111E-05 9.63758680555556E-06 0 0 0 0 0 0
6.69405052974735E-05 9.62306438467808E-06 0.1640164 1.49706686362393E-07 -1.45224208774781E-08 0.1640164 2.26229926497505E-14 2.26229926497505E-14
6.69969081272085E-05 9.61395759717314E-06 0.3270327 5.64028297349779E-08 -9.10678750493155E-09 0.1630163 3.26421278077288E-15 4.30394721146717E-14
6.69957890070922E-05 9.61901595744681E-06 0.4910491 -1.1191201162859E-09 5.05836027366335E-09 0.1640164 2.68394384928514E-17 4.23659388439601E-14
6.69984143763213E-05 9.59170190274841E-06 0.6550655 2.62536922915046E-09 -2.73140546983939E-08 0.1640164 7.52950147656223E-16 4.52097302694523E-14
6.69992822966507E-05 9.61722488038277E-06 0.8190819 8.67920329369554E-10 2.55229776343597E-08 0.1640164 6.5217567302216E-16 4.38800551329187E-14
6.69954414587332E-05 9.62619961612284E-06 0.9820982 -3.84083791750811E-09 8.97473574006646E-09 0.1630163 9.52979175125944E-17 4.20083631660572E-14
6.69738017871649E-05 9.57575142160845E-06 1.1461146 -2.16396715683089E-08 -5.04481945143933E-08 0.1640164 3.01329571534634E-15 3.73137771536598E-14
6.72724743150685E-05 9.82523544520548E-06 1.310131 2.98672527903591E-07 2.49484023597031E-07 0.1640164 1.51447556954485E-13 2.67223495745303E-13
6.74578886310905E-05 9.84988399071926E-06 1.4741474 1.85414316021991E-07 2.4648545513779E-08 0.1640164 3.49860193818474E-14 4.90079189584507E-13
6.73284960422164E-05 9.91853562005277E-06 1.6381638 -1.29392588874126E-07 6.86516293335124E-08 0.1640164 2.14554882656945E-14 3.68050763784569E-13
6.71697928331467E-05 9.85610302351624E-06 1.8011801 -1.58703209069657E-07 -6.24325965365333E-08 0.1630163 2.90845376793007E-14 1.913859578482E-13
6.70096566523605E-05 9.85896518836433E-06 1.9651965 -1.60136180786182E-07 2.86216484809287E-09 0.1640164 2.56517883844024E-14 9.69072305945545E-14
6.69625796178344E-05 9.91573779193206E-06 2.1292129 -4.70770345261258E-08 5.67726035677296E-08 0.1640164 5.43937569563262E-15 1.06876685493085E-13
6.69513715710723E-05 1.02010598503741E-05 2.2932293 -1.12080467620785E-08 2.85322058442006E-07 0.1640164 8.15342973458043E-14 3.43285547707744E-13
20
2.29050270921132E-05 3.6933925346177E-05 0 0 0 0 0 0
2.27542256738237E-05 3.67754682503426E-05 0.1630163 -1.50801418289518E-07 -1.58457095834379E-07 0.1630163 4.78497189783958E-14 4.78497189783958E-14
2.31080478975216E-05 3.65689223057644E-05 0.3270327 3.53822223697918E-07 -2.0654594457821E-07 0.1640164 1.67851393204244E-13 1.74444666939109E-13
2.30468668407311E-05 3.68236292428198E-05 0.4910491 -6.11810567905131E-08 2.54706937055431E-07 0.1640164 6.86187454941633E-14 3.22837447037581E-14
2.27670984455959E-05 3.68496113989637E-05 0.6550655 -2.79768395135214E-07 2.59821561438898E-08 0.1640164 7.89454273544187E-14 2.61331532247835E-14
2.29452526799387E-05 3.68795303726391E-05 0.8190819 1.78154234342887E-07 2.99189736753718E-08 0.1640164 3.26340762000881E-14 4.57691106210025E-15
2.2908081705151E-05 3.69104499703967E-05 0.9820982 -3.71709747877666E-08 3.09195977575811E-08 0.1630163 2.3377028921634E-15 5.60423928837648E-16
2.29087982832618E-05 3.6869635193133E-05 1.1461146 7.16578110825594E-10 -4.0814777263634E-08 0.1640164 1.66635952726897E-15 4.14744566109378E-15
2.29558952925649E-05 3.68009238891333E-05 1.310131 4.70970093030907E-08 -6.87113039997484E-08 0.1640164 6.93937158264126E-15 2.02769613929418E-14
2.29696454589607E-05 3.68942447790189E-05 1.4741474 1.37501663957664E-08 9.33208898856392E-08 0.1640164 8.89785556495887E-15 5.75008074402017E-15
2.29072960251046E-05 3.68717311715481E-05 1.6371637 -6.23494338560562E-08 -2.25136074708203E-08 0.1630163 4.3943144235209E-15 3.87326341468697E-15
2.28492283950617E-05 3.67180555555556E-05 1.8011801 -5.80676300428742E-08 -1.53675615992562E-07 0.1640164 2.69880446094894E-14 4.97132610955843E-14
2.28697042366107E-05 3.65815347721823E-05 1.9651965 2.04758415489827E-08 -1.36520783373307E-07 0.1640164 1.90571843800004E-14 1.25426820761195E-13
2.2828125E-05 3.66036931818182E-05 2.1292129 -4.15792366107119E-08 2.2158409635928E-08 0.1640164 2.21982803472315E-15 1.14967214148494E-13
2.29491620111732E-05 3.66019553072626E-05 2.2932293 1.21037011173183E-07 -1.7378745556087E-09 0.1640164 1.46529782817082E-14 1.12151997817279E-13
2.29973339796413E-05 3.68751817741154E-05 2.4562456 4.81719684681181E-08 2.73226466852797E-07 0.1630163 7.69732407349562E-14 1.19713687436884E-14
2.31197916666667E-05 3.71350694444444E-05 2.620262 1.22457687025367E-07 2.59887670329078E-07 0.1640164 8.25374863006785E-14 8.65827707509642E-14
2.31308539944904E-05 3.71332644628099E-05 2.7842784 1.10623278236908E-08 -1.80498163452825E-09 0.1640164 1.25633055579787E-16 9.07338732572633E-14
2.31254325259516E-05 3.68782006920415E-05 2.9482948 -5.42146853880254E-09 -2.55063770768395E-07 0.1640164 6.50869194797094E-14 5.16837923439995E-14
2.33724796224796E-05 3.66749249249249E-05 3.1123112 2.47047096528068E-07 -2.03275767116601E-07 0.1640164 1.02353305399791E-13 2.8559308635474E-13
12
6.83535767511177E-05 2.91259314456036E-05 0 0 0 0 0 0
6.83625621890547E-05 2.89935737976783E-05 0.1640164 8.98543793699957E-09 -1.323576479253E-07 0.1640164 1.75992850592373E-14 1.75992850592373E-14
6.82779078844653E-05 2.89726775956284E-05 0.3270327 -8.46543045894634E-08 -2.08962020498618E-08 0.1630163 7.6030025456343E-15 2.92125199126777E-14
6.82850922131147E-05 2.89385245901639E-05 0.4910491 7.18432864948682E-09 -3.41530054644821E-08 0.1640164 1.21804236040078E-15 3.98114614112567E-14
6.82844478216819E-05 2.88176291793313E-05 0.6550655 -6.44391432885527E-10 -1.20895410832627E-07 0.1640164 1.46161156007085E-14 9.98290962735669E-14
6.825E-05 2.88760580411125E-05 0.8190819 -3.44478216818658E-08 5.84288617811488E-08 0.1640164 4.60058430766621E-15 7.31648616440879E-14
6.83224121557455E-05 2.88786799620133E-05 0.9830983 7.24121557454822E-08 2.62192090083957E-09 0.1640164 5.25039476891823E-15 6.21045281423117E-14
6.82514194464159E-05 2.8874378992193E-05 1.1461146 -7.09927093295875E-08 -4.30096982024963E-09 0.1630163 5.05846311934999E-15 7.37147517208014E-14
6.84285714285714E-05 2.88959492888064E-05 1.310131 1.77151982155536E-07 2.15702966133868E-08 0.1640164 3.18481024776248E-14 5.85159940914517E-14
6.84196603527106E-05 2.88732854343566E-05 1.4741474 -8.91107586078021E-09 -2.2663854449803E-08 0.1640164 5.93057571518436E-16 6.81970493984853E-14
6.83390233362143E-05 2.88714347450302E-05 1.6381638 -8.06370164962971E-08 -1.85068932637833E-09 0.1640164 6.50575348040685E-15 6.49803724880594E-14
6.8417025862069E-05 2.91860632183908E-05 1.8021802 7.80025258546146E-08 3.14628473360553E-07 0.1640164 1.05075470288892E-13 7.64161977903733E-15
11
3.95090981012658E-05 1.51973892405063E-05 0 0 0 0 0 0
3.96481233243968E-05 1.51313672922252E-05 0.1640164 1.39025223130965E-07 -6.60219482811275E-08 0.1640164 2.36869103214504E-14 2.36869103214504E-14
3.97083751253761E-05 1.49099799398195E-05 0.3280328 6.02518009793442E-08 -2.21387352405744E-07 0.1640164 5.26426393264795E-14 1.22315438459577E-13
3.97837014470678E-05 1.49080350342727E-05 0.4910491 7.53263216916551E-08 -1.94490554680016E-09 0.1630163 5.67783739718068E-15 1.59132854190751E-13
3.96569037656904E-05 1.49663777644949E-05 0.6550655 -1.26797681377411E-07 5.8342730222261E-08 0.1640164 1.9481526172475E-14 7.52128164849539E-14
3.97793927648579E-05 1.48997093023256E-05 0.9830983 1.22488999167508E-07 -6.66684621693374E-08 0.3280328 1.94482387650823E-14 1.61672550761639E-13
3.95827223851417E-05 1.48158602150538E-05 1.1471147 -1.96670379716139E-07 -8.38490872718172E-08 0.1640164 4.5709907694007E-14 1.50984932439026E-13
3.94251474926254E-05 1.45530973451327E-05 1.310131 -1.57574892516372E-07 -2.62762869921021E-07 0.1630163 9.38741725606776E-14 4.2215975113519E-13
3.93548298572997E-05 1.46542261251372E-05 1.8021802 -7.03176353257007E-08 1.01128780004469E-07 0.4920492 1.51715999829905E-14 3.18824860993884E-13
3.96279832935561E-05 1.46294749403341E-05 1.9661966 2.73153436256415E-07 -2.47511848030832E-08 0.1640164 7.52254208878436E-14 3.36660341285973E-13
3.9470741599073E-05 1.46071842410197E-05 2.1292129 -1.57241694483083E-07 -2.22906993144303E-08 0.1630163 2.52218257598377E-14 3.49813162679481E-13
19
2.30153846153846E-05 5.1106993006993E-05 0 0 0 0 0 0
2.34181783824641E-05 5.13516628873772E-05 0.1630163 4.0279376707948E-07 2.44669880384166E-07 0.1630163 2.2210616916528E-13 2.2210616916528E-13
2.3670906200318E-05 5.13714228934817E-05 0.3270327 2.5272781785387E-07 1.97600061045406E-08 0.1640164 6.42618077584304E-14 4.99631713181961E-13
2.37810534591195E-05 5.14542059748428E-05 0.4910491 1.10147258801533E-07 8.27830813610504E-08 0.1640164 1.89854571811221E-14 7.06805623309348E-13
2.37719504021448E-05 5.14343163538874E-05 0.6550655 -9.1030569747268E-09 -1.98896209553681E-08 0.1640164 4.78462668033338E-16 6.79532363118158E-13
2.36450252951096E-05 5.13167509836987E-05 0.8190819 -1.26925107035159E-07 -1.17565370188693E-07 0.1640164 2.99315990634911E-14 4.40445794356223E-13
2.35759833134684E-05 5.13887067938021E-05 0.9820982 -6.90419816411953E-08 7.19558101034394E-08 0.1630163 9.94443383658539E-15 3.93633557971596E-13
2.35155826558266E-05 5.14025519421861E-05 1.1461146 -6.0400657641857E-08 1.38451483839432E-08 0.1640164 3.83992757734222E-15 3.37553163834427E-13
2.33044230769231E-05 5.14298076923077E-05 1.310131 -2.11159578903484E-07 2.72557501216042E-08 0.1640164 4.53312436773879E-14 1.87752553303338E-13
2.32563195146613E-05 5.12669362992922E-05 1.4741474 -4.81035622618009E-08 -1.62871393015479E-07 0.1640164 2.88410433650775E-14 8.36314824409626E-14
2.31300947867299E-05 5.15111374407583E-05 1.9651965 -1.26224727931419E-07 2.44201141466085E-07 0.4910491 7.55668794346997E-14 1.76491146753521E-13
2.29402699949058E-05 5.13590168110036E-05 2.1292129 -1.89824791824101E-07 -1.52120629754734E-07 0.1640164 5.91741375880401E-14 6.91582039976341E-14
2.26539183481933E-05 5.13494838104176E-05 2.2932293 -2.86351646712419E-07 -9.53300058591822E-09 0.1640164 8.20881436750849E-14 1.89459652062723E-13
2.27175840978593E-05 5.1417125382263E-05 2.4562456 6.366574966599E-08 6.76415718453498E-08 0.1630163 8.62870992224213E-15 1.84867238428934E-13
2.275E-05 5.14109947643979E-05 2.620262 3.24159021406736E-08 -6.1306178650895E-09 0.1640164 1.08837518700148E-15 1.62846062588106E-13
