x y time dx dy dt dr^2 TotalDisplacementSquared
14
4.74367836676218E-05 4.61550859598854E-06 0 0 0 0 0 0
4.7666350087668E-05 4.66255113968439E-06 0.034 2.29566420046254E-07 4.70425436958566E-08 0.034 5.49137421302297E-14 5.49137421302297E-14
4.7954842032967E-05 4.62877747252747E-06 0.067 2.88491945299008E-07 -3.37736671569226E-08 0.033 8.43682630956322E-14 2.6856053298881E-13
4.78887559808612E-05 4.57795055821372E-06 0.1 -6.60860521057955E-08 -5.08269143137561E-08 0.033 6.95074150158783E-15 2.05689578136529E-13
4.77421000658328E-05 4.86471362738644E-06 0.134 -1.46655915028454E-07 2.86763069172722E-07 0.034 1.03741015254193E-13 1.55321250690574E-13
4.8036359530262E-05 4.88019421860885E-06 0.167 2.94259464429182E-07 1.54805912224143E-08 0.033 8.68282811107443E-14 4.29549693882636E-13
4.81715481171548E-05 4.79445606694561E-06 0.2 1.35188586892845E-07 -8.57381516632465E-08 0.033 2.56269846767141E-14 5.7190099365952E-13
4.82157894736842E-05 4.90657894736842E-06 0.234 4.42413565293975E-08 1.12122880422814E-07 0.034 1.45288379418699E-14 6.91571995331394E-13
4.8249070199907E-05 4.96478382147838E-06 0.267 3.32807262228059E-08 5.82048741099612E-08 0.033 4.49541410807379E-15 7.81802593672964E-13
4.81780855199223E-05 4.87576935536119E-06 0.3 -7.09846799847611E-08 -8.90144661171899E-08 0.033 1.29623999706673E-14 6.17264099093354E-13
4.78876421304608E-05 4.86579892280072E-06 0.334 -2.90443389461451E-07 -9.9704325604737E-09 0.034 8.44567720072992E-14 2.6591860120932E-13
4.77865350618739E-05 4.95241602828521E-06 0.367 -1.01107068586906E-07 8.66171054844909E-08 0.033 1.77251622807487E-14 2.3583265571804E-13
4.79498974884674E-05 4.87314197847258E-06 0.4 1.63362426593551E-07 -7.92740498126312E-08 0.033 3.29716573962288E-14 3.29660752913014E-13
4.80416666666667E-05 4.54947916666667E-06 0.434 9.17691781992147E-08 -3.23662811805911E-07 0.034 1.13179197813468E-13 3.70243328070112E-13
22
9.10193605683837E-05 2.33539076376554E-05 0 0 0 0 0 0
9.10070826952527E-05 2.36450995405819E-05 0.034 -1.22778731309836E-08 2.91191902926514E-07 0.034 8.49434704985846E-14 8.49434704985846E-14
9.10762688232013E-05 2.33923591745678E-05 0.067 6.91861279486545E-08 -2.52740366014169E-07 0.033 6.86644129135039E-14 4.71707015731433E-15
9.10044215180545E-05 2.36409358879882E-05 0.1 -7.18473051468038E-08 2.48576713420448E-07 0.033 6.69524177117695E-14 8.26083917138403E-14
9.09977814753189E-05 2.36271491957848E-05 0.134 -6.64004273561147E-09 -1.37866922034071E-08 0.034 2.34163049442233E-16 7.5126606346471E-14
9.10079155672823E-05 2.37775945470536E-05 0.167 1.01340919634083E-08 1.50445351268846E-07 0.033 2.27365035383294E-14 1.79641585245635E-13
9.1E-05 2.3625E-05 0.2 -7.91556728232479E-09 -1.52594547053649E-07 0.033 2.33477519959094E-14 7.38659005297047E-14
9.10038155275381E-05 2.36269077637691E-05 0.234 3.81552753815129E-09 1.9077637690792E-09 0.034 1.81978129930021E-17 7.47707171529636E-14
9.10454985479187E-05 2.37706921587609E-05 0.267 4.16830203805318E-08 1.43784394991812E-07 0.033 2.24114264312052E-14 1.74392531007292E-13
9.1E-05 2.3625E-05 0.3 -4.54985479186831E-08 -1.45692158760891E-07 0.033 2.32963229871174E-14 7.38659005297047E-14
9.10149112872782E-05 2.38646659116648E-05 0.334 1.4911287278224E-08 2.3966591166478E-07 0.034 5.76620957024037E-14 2.60893810571378E-13
9.12550313059034E-05 2.39193872987478E-05 0.367 2.40120018625177E-07 5.4721387082985E-08 0.033 6.06520535488413E-14 3.75307943632214E-13
9.1390826873385E-05 2.38821059431525E-05 0.4 1.35795567481608E-07 -3.72813555953115E-08 0.033 1.98303356226761E-14 4.16980665681294E-13
9.14034857571214E-05 2.38892428785607E-05 0.434 1.26588837364352E-08 7.13693540826554E-09 0.034 2.11183184474338E-16 4.34135980777974E-13
9.13058933582788E-05 2.41566884939195E-05 0.467 -9.75923988426786E-08 2.67445615358831E-07 0.033 8.10514334865322E-14 7.26558142869245E-13
9.13194444444444E-05 2.41493055555556E-05 0.5 1.35510861656769E-08 -7.38293836399251E-09 0.033 2.38139715156112E-16 7.2270818047154E-13
9.1372722095672E-05 2.41452164009112E-05 0.534 5.32776512275319E-08 -4.08915464439374E-09 0.034 2.8552293060283E-15 7.51033927772867E-13
9.14565387627251E-05 2.41296006264683E-05 0.567 8.38166670531564E-08 -1.56157744428782E-08 0.0329999999999999 7.26908608735052E-15 7.92824386501107E-13
9.14346620908131E-05 2.3924762407603E-05 0.6 -2.18766719120396E-08 -2.0483821886533E-07 0.033 4.24372846818678E-14 4.98350522904059E-13
9.14473951285521E-05 2.4144451962111E-05 0.633 1.27330377390109E-08 2.19689554508005E-07 0.033 4.84256306099886E-14 8.08173913627461E-13
9.15501043841336E-05 2.39603340292276E-05 0.667 1.02709255581516E-07 -1.84117932883403E-07 0.0339999999999999 4.44486043913665E-14 6.4944196635203E-13
9.13147716682199E-05 2.41502795899348E-05 0.7 -2.35332715913671E-07 1.89945560707205E-07 0.033 9.14608032116791E-14 7.21476004283698E-13
23
2.92866290983607E-05 2.83230020491803E-05 0 0 0 0 0 0
2.93441558441558E-05 2.82824675324675E-05 0.034 5.75267457951867E-08 -4.05345167127962E-08 0.034 4.95237352692398E-15 4.95237352692398E-15
2.92878352490421E-05 2.83184865900383E-05 0.067 -5.63205951136965E-08 3.60190575707833E-08 0.033 4.46938194224833E-15 2.18441707296472E-17
2.9561780104712E-05 2.83566753926702E-05 0.1 2.73944855669896E-07 3.81888026318435E-08 0.033 7.6504168594454E-14 7.68419703579647E-14
2.96778661546901E-05 2.83598464070214E-05 0.134 1.1608604997803E-07 3.1710143512349E-09 0.034 1.34860263315174E-14 1.54423940950027E-13
2.97945062586926E-05 2.86943671766342E-05 0.167 1.16640104002556E-07 3.34520769612819E-07 0.033 1.2550905916408E-13 3.95851267875708E-13
2.98448905109489E-05 2.86262165450122E-05 0.2 5.03842522562756E-08 -6.81506316220464E-08 0.033 7.18308146590788E-15 4.03594835267582E-13
2.98083214793741E-05 2.86008179231863E-05 0.234 -3.65690315747926E-08 -2.5398621825822E-08 0.034 1.9823840609693E-15 3.49344600257215E-13
2.99370437956204E-05 2.86140510948905E-05 0.267 1.28722316246325E-07 1.32331717041652E-08 0.033 1.67445515331708E-14 5.07748825420339E-13
2.99907407407407E-05 2.88681048069346E-05 0.3 5.36969451203042E-08 2.54053712044083E-07 0.033 6.74266505186309E-14 7.92910221446484E-13
3.00414244186047E-05 2.88740007267442E-05 0.334 5.06836778639119E-08 5.8959198095927E-09 0.034 2.60359707221394E-15 8.73315518139357E-13
2.99197722567288E-05 2.859972394755E-05 0.367 -1.21652161875875E-07 -2.7427677919415E-07 0.033 9.00270000941905E-14 4.77445268025694E-13
3.00061571125265E-05 2.88443736730361E-05 0.4 8.6384855797764E-08 2.44649725486056E-07 0.033 6.7315831491603E-14 7.89548933331498E-13
2.97796735905045E-05 2.84740356083086E-05 0.434 -2.2648352202209E-07 -3.70338064727488E-07 0.034 1.88445067933631E-13 2.65904007216287E-13
2.96818580192813E-05 2.8603198948291E-05 0.467 -9.78155712231192E-08 1.2916333998237E-07 0.033 2.62510543691063E-14 2.34716202203343E-13
2.96405118300338E-05 2.88169966199903E-05 0.5 -4.13461892475304E-08 2.13797671699368E-07 0.033 4.74189517893632E-14 3.69263623766217E-13
2.95122922437673E-05 2.86298476454294E-05 0.534 -1.28219586266489E-07 -1.8714897456098E-07 0.034 5.1465000981576E-14 1.45078075132251E-13
2.93700305810398E-05 2.86200305810398E-05 0.633 -1.42261662727556E-07 -9.81706438960472E-09 0.099 2.03347554352385E-14 9.51817560516399E-14
