x y time dx dy dt dr^2 TotalDisplacementSquared
11
4.20989540607055E-05 2.23892534864643E-06 0 0 0 0 0 0
4.21155112651646E-05 2.36681109185442E-06 0.1420142 1.65572044591471E-08 1.27885743207988E-07 0.1420142 1.66289043353615E-14 1.66289043353615E-14
4.21534810126582E-05 2.35870253164557E-06 0.2830283 3.79697474935838E-08 -8.10856020884998E-09 0.1410141 1.50745047338706E-15 1.73197620564644E-14
4.22233236151603E-05 2.37711370262391E-06 0.4250425 6.98426025021206E-08 1.84111709783372E-08 0.1420142 5.21696034106279E-15 3.45638072503023E-14
4.22158683974933E-05 2.54230080572963E-06 0.5670567 -7.45521766705792E-09 1.65187103105726E-07 0.1420142 2.7342359302925E-14 1.05705630106971E-13
4.20558930741191E-05 2.2910085054678E-06 0.7080708 -1.59975323374212E-07 -2.51292300261832E-07 0.1410141 8.87399242595665E-14 4.56690379027506E-15
4.2E-05 2.36871508379888E-06 0.850085 -5.58930741190764E-08 7.77065783310822E-08 0.1420142 9.16234805040518E-15 2.66372814810503E-14
4.21374269005848E-05 2.3516081871345E-06 0.9910991 1.37426900584792E-07 -1.71068966643801E-08 0.1410141 1.91787989178281E-14 1.41775814981068E-14
4.21591826437941E-05 2.31811301715439E-06 1.1331133 2.17557432093542E-08 -3.34951699801134E-08 0.1420142 1.59523877458805E-15 9.89816906459284E-15
4.21868863955119E-05 2.25280504908836E-06 1.2741274 2.77037517177732E-08 -6.53079680660302E-08 0.1410141 5.03262855215364E-15 7.92474158886682E-15
4.21472602739726E-05 2.3739103362391E-06 1.5571557 -3.96261215393139E-08 1.21105287150744E-07 0.2830283 1.62367200841127E-14 2.05544371156014E-14
12
7.96283944735588E-06 5.42904954740353E-05 0 0 0 0 0 0
7.90707831325301E-06 5.43343373493976E-05 0.1420142 -5.57611341028714E-08 4.38418753623395E-08 0.1420142 5.03141411172532E-15 5.03141411172532E-15
7.83839582344566E-06 5.42610346464167E-05 0.2830283 -6.86824898073546E-08 -7.33027029808895E-08 0.1410141 1.00905706704419E-14 1.63541558958797E-14
7.91514254975793E-06 5.41975524475524E-05 0.4250425 7.6746726312277E-08 -6.34821988642571E-08 0.1420142 9.92004957229263E-15 1.0913400212253E-14
7.77951388888889E-06 5.42095486111111E-05 0.5670567 -1.35628660869045E-07 1.19961635586634E-08 0.1420142 1.85390415892567E-14 4.01606550044955E-14
7.66284334440085E-06 5.44341231512225E-05 0.7080708 -1.16670544488044E-07 2.24574540111348E-07 0.1410141 6.40457400173602E-14 1.10626571442402E-13
7.59666439754935E-06 5.44346494213751E-05 0.850085 -6.61789468514922E-08 5.26270152626296E-10 0.1420142 4.37992996664617E-15 1.5486452763447E-13
7.62820367430256E-06 5.43893740077115E-05 0.9910991 3.15392767532101E-08 -4.52754136635818E-08 0.1410141 3.04458906052403E-15 1.21758065028959E-13
7.68312641083521E-06 5.43618792325056E-05 1.1331133 5.49227365326512E-08 -2.74947752058594E-08 0.1420142 3.77246965185576E-15 8.33350237729722E-14
