x y time dx dy dt dr^2 TotalDisplacementSquared
10
3.30860612460401E-05 1.66593848996832E-05 0 0 0 0 0 0
3.31330045933531E-05 1.66454336665766E-05 0.0720072 4.69433473130252E-08 -1.39512331066101E-08 0.0720072 2.39831476214628E-15 2.39831476214628E-15
3.31050593276203E-05 1.66585365853659E-05 0.1440144 -2.79452657328463E-08 1.31029187892544E-08 0.0720072 9.52624357677189E-16 3.61646740908164E-16
3.31788698766415E-05 1.66462395543175E-05 0.2160216 7.38105490211609E-08 -1.22970310483055E-08 0.0720072 5.59921411940819E-15 8.78624201887846E-15
3.32326923076923E-05 1.66518028846154E-05 0.2880288 5.38224310508468E-08 5.56333029783573E-09 0.0720072 2.92780472822598E-15 2.15581551937361E-14
3.3507800511509E-05 1.64668797953964E-05 0.360036 2.75108203816643E-07 -1.84923089218966E-07 0.0720072 1.09881072733505E-13 2.14922223214656E-13
3.36857258064516E-05 1.64026612903226E-05 0.4330433 1.77925294942661E-07 -6.42185050738391E-08 0.0730073 3.57814269743515E-14 4.25504596616656E-13
3.37423623063683E-05 1.66064974182444E-05 0.5050505 5.66364999167135E-08 2.03836127921825E-07 0.0720072 4.47568601689785E-14 4.33528167480865E-13
3.37456918398378E-05 1.65960466294982E-05 0.5770577 3.32953346948273E-09 -1.045078874618E-08 0.0720072 1.20304778541688E-16 4.39124256743915E-13
3.3750279798545E-05 1.66344432008954E-05 0.6490649 4.5879587072335E-09 3.83965713971293E-08 0.0720071999999999 1.49534606015412E-15 4.41808373830155E-13
11
1.68947552447552E-05 1.78713286713287E-05 0 0 0 0 0 0
1.6904262086514E-05 1.78718193384224E-05 0.1440144 9.50684175874983E-09 4.90667093718144E-10 0.1440144 9.06207944227674E-17 9.06207944227674E-17
1.70626279863481E-05 1.78667235494881E-05 0.2160216 1.58365899834127E-07 -5.09578893433726E-09 0.0720072 2.51057252951361E-14 2.82024645170758E-14
1.71631944444444E-05 1.77979166666667E-05 0.2880288 1.00566458096321E-07 -6.88068828213879E-08 0.0720072 1.48479996176352E-14 7.74489263582714E-14
1.69618270079435E-05 1.79223300970874E-05 0.4330433 -2.01367436500931E-07 1.24413430420713E-07 0.1450145 5.6027546152006E-14 7.09976684660372E-15
1.67551355792933E-05 1.78952341824158E-05 0.5050505 -2.06691428650167E-07 -2.70959146716017E-08 0.0720072 4.34555352693378E-14 2.00651244440287E-14
1.66556722689076E-05 1.79174369747899E-05 0.5770577 -9.94633103857829E-08 2.22027923741379E-08 0.0720072 1.03859141021077E-14 5.92866449882579E-14
